"text","created_at"
"20th🎂🎊 https://t.co/Uwqzbhr2Jz","2020-05-25T09:17:00.000Z"
"@danielcassion26 naol cleared na sa buhatonon","2020-05-25T09:16:58.000Z"
"@MontegrandePHL @differenzz @marky85172357 @ferdiefabulous @_Alexandersab @AlexSuligan @OzaetaMark makikilike po salamat","2020-05-25T09:17:02.000Z"
"@mariachrystn lagot ako kay ed, ay si ed pala yung kabet bab hindi ikaw 😂","2020-05-25T09:17:02.000Z"
"Let's start this work week with the Lord. 🙌","2020-05-25T09:17:04.000Z"
"https://t.co/4usfZUqOaW https://t.co/U6bxou6wF9","2020-05-25T09:17:04.000Z"
"HAHAHAHAHAHAHA https://t.co/rF8cuwQQc1","2020-05-25T09:17:04.000Z"
"Sa Male Ward pa naman ako. 😓😅","2020-05-25T09:17:05.000Z"
"@demi_borj Sorry na ma. Gusto ko lang naman mapansin mo","2020-05-25T09:17:08.000Z"
"MONDAY RUN! 💕🙏🏻🚶🏻‍♂️🏃🏻‍♂️ https://t.co/rNXiCsJgQL","2020-05-25T09:17:10.000Z"
"di mabubuo araw ko talaga pag hindi ako nakakanood ng live ni choox or mga vid nya sa youtube.","2020-05-25T09:17:12.000Z"
"@iamanamel https://t.co/jgN4ocBjnV","2020-05-25T09:17:14.000Z"
"Lord thank you po 🥺💙","2020-05-25T09:17:15.000Z"
"@choi_bts2 @BTS_twt I like this also. But I like the one more that was included in the released August D 2 MV","2020-05-25T09:17:16.000Z"
"kakaantok. 😴","2020-05-25T09:17:16.000Z"
"Streaming now!!!!! ♥️♥️♥️♥️ https://t.co/9g4VhNF7WJ","2020-05-25T09:17:16.000Z"
"Volleyball  sa kahapunon 🏐 @ Cielo Azul Pangangan Island Calape Bohol https://t.co/MB7Cydltcu","2020-05-25T09:17:16.000Z"
"Bakit ba napakasarap mong manggang hinog ka? Ano bang problema mo? Nananahimik ako? Ano ba? 🤪🤣🤪🤣 @ Rodriguez, Rizal https://t.co/HBkrUXNOhn","2020-05-25T09:17:17.000Z"
"can i ?💓 https://t.co/Prp0EegC21","2020-05-25T09:17:21.000Z"
"Walanju ang binili saking brief ng nanay q parang sa pamangkin ko sa sikip hahahahaha","2020-05-25T09:17:23.000Z"
"2ND WAVEEE! HAHAHAHAHA https://t.co/JRNqFmcr4W https://t.co/CMbxlWdxpz","2020-05-25T09:17:23.000Z"
"@_myclmgpnty 🍑🍉🍒","2020-05-25T09:17:23.000Z"
"@kenriquez0915 https://t.co/jl97rckXEL","2020-05-25T09:17:23.000Z"
"Gusto ko na maglaro ng basketball 😅","2020-05-25T09:17:25.000Z"
"can you feel the love tonight... @michaelbitoygma briannabunagan @ Las Piñas https://t.co/Yzoqtr7Oba","2020-05-25T09:17:25.000Z"
"Grabe yung titig nya! Kung nyan tunaw na!

 #BAEKHYUN 
#Delight 

 https://t.co/EAJuxW3WGt","2020-05-25T09:17:26.000Z"
"nge ngita na sila aha na daw ako bayu hahaha na traffic pa gud","2020-05-25T09:17:30.000Z"
"@kimalvaro_ https://t.co/UUW0S1LT2A","2020-05-25T09:17:31.000Z"
"❤️❤️❤️ https://t.co/8M9ZnuE1XS","2020-05-25T09:17:32.000Z"
